ADDRESS,pdq,MSE_EMA,MSE_ARIMA,MSE_GARCH,MSE_GJRGARCH,SHARE_ZERO,MAX_VALUE,AVG_VALUE,MEDIAN_VALUE,PERIODICITY,ENTRIES,CLUSTER
0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,5 1 0,0.0373718753245002,6.12283199981586,0.0476731189355167,0.0454939444094584,0.0,208.0,0.22785844081190837,0.07181177304111612,0.00020006001800540162,10000,3
0x967a4acee7c66ea422658408ba47c8f5528fe997,0 0 0,0.963115885315037,396.553442147855,1.06739595396474,1.06739596271525,0.6841448189762797,353.51731238549206,4.368884718396352,0.0,2.8509615384615383,801,1
0xb9c554f508dc232ff54e07b81cbae3b9a3bd80b7,0 0 0,0.00187661690650645,0.00347820487891262,0.00275713546799618,0.00214668545341251,0.5483870967741935,1.0,0.024775757466703578,0.0,1.31044776119403,775,0
0xdc3df567f47cf98d8aaf8d009df84ecf9e7fa00b,3 1 1,0.0101438116679399,0.0161905597166311,0.0140823223682876,0.014095284573504,0.47418738049713194,1.02,0.06604637313801856,0.0,1.3214285714285714,523,0
0x167ddff2b9210309740f82127f10360a3da33d62,0 1 2,0.00352361033280673,0.00671093725531588,0.00419129274150809,0.00422968458333154,0.500805152979066,1.0,0.023837113043478263,0.0,1.3433962264150943,621,0
0x2c99d50eb4daa1d26b5ba0b1daab58cbfc0ac3e6,2 1 1,0.686194276556981,289.837270094147,0.774379560109088,0.774693217567216,0.866581956797967,200.0,3.3388252125337043,0.0,8.8375,1574,1
0xc8e1f4ac50d7d41ce3daa47dd8ae5bd884b4e30f,0 0 3,0.00859467032488282,0.0258265294192372,0.0107878147094328,0.0104211854310388,0.5786858089453341,2.5,0.04680685482090187,0.0,1.6839762611275964,1811,0
0x3230dc9a4403c2a5eb61b979cf78cb0eed9fa1d9,5 1 0,0.032239294990727,0.069700981532932,0.0150750224219999,0.0150479890378539,0.33853006681514475,3.283,0.062130265409133585,0.002511,0.8285714285714286,449,0
0x012798bea698f4fa4bba0711b4566c83acf2e6db,1 0 1,0.00176505327744663,0.00250488197062178,NaN,NaN,0.5048543689320388,0.5,0.027649890076076766,0.0,1.4523809523809523,206,0
0xf3abc13db2ca83c2fc3b5e84384c95067a441531,1 0 2,0.0196047011551151,0.0365321006806032,0.0241889551959267,0.024376197393997,0.4963235294117647,1.0,0.10924178167463551,0.0,3.370967741935484,272,0
0x8ef5629ef87731e678c377628f4c4c9a23ec4bcd,5 1 0,0.0180183160764555,0.088034367488421,0.0208812964203837,0.0209281040968013,0.5022653721682848,9.0,0.100941666519771,0.0,1.1172035640849898,3090,0
